"Code";"Libre";"Nom";"CP";"Com";"Ville";"Com";"Téléphone";"Com";"";"";"";""
"F0103";"CASH";"CONVERT";"";"";"";"";"";"";"";"";"";""
"F0104";"CASINO";"";"";"";"";"";"";"";"";"";"";""
"F0105";"CASTORAMA";"";"";"";"";"";"";"";"";"";"";""
"F0106";"CCI";"";"";"";"";"";"";"";"";"";"";""
"F0107";"CEF";"42000";"SAINT-ETIENNE";"04";"77";"06";"06";"06";"";"";"";""
"F00000000510";"CEG";"CLOTURES";"42490";"FRAISSES";"04";"77";"73";"92";"62";"";"";""
"F0108";"CEGETEL";"";"";"";"";"";"";"";"";"";"";""
"F0109";"CENI";"";"";"";"";"";"";"";"";"";"";""
"F0110";"CGE";"DISTRIBUTION";"";"";"";"";"";"";"";"";"";""
"F0111";"CGL";"";"";"";"";"";"";"";"";"";"";""
"F0112";"CHAMPION";"";"";"";"";"";"";"";"";"";"";""
"F00000000444";"CHARTON";"PATRICK";"";"";"";"";"";"";"";"";"";""
"F0113";"CHATAIN";"POIDS";"LOURDS";"";"";"";"";"";"";"";"";""
"F00000000573";"CHAUVET";"";"";"";"";"";"";"";"";"";"";""
"F0114";"CHMIELARZ";"Serge";"";"";"";"";"";"";"";"";"";""
"F0115";"CHOVET";"";"";"";"";"";"";"";"";"";"";""
"F0116";"CHROMEX";"";"";"";"";"";"";"";"";"";"";""
"F0117";"CHRONOPOST";"";"";"";"";"";"";"";"";"";"";""
"F0118";"CINECO";"93330";"NEUILLY";"SUR";"MARNE";"0149446015";"";"";"";"";"";""
"F0119";"CINEMA";"LE";"MAJESTIC";"FRS";"42700";"FIRMINY";"0477560122";"";"";"";"";""
"F00000000564";"CINOD";"";"";"";"";"";"";"";"";"";"";""
"F0120";"CLARK";"";"";"";"";"";"";"";"";"";"";""
"F0121";"CLASSIC";"AND";"TROUBLE";"";"";"";"";"";"";"";"";""
"F0122";"CLAVIER";"42270";"Saint";"Priest";"en";"Jarez";"0477742005";"";"";"";"";""
"F0123";"CLE";"";"";"";"";"";"";"";"";"";"";""
"F0124";"CLG";"69002";"LYON";"0478386390";"";"";"";"";"";"";"";""
"F0126";"CM-CIC";"BAIL";"FRS";"";"";"";"";"";"";"";"";""
"F0125";"CMC";"";"";"";"";"";"";"";"";"";"";""
"F0127";"CMS";"";"";"";"";"";"";"";"";"";"";""
"F0128";"CNL";"";"";"";"";"";"";"";"";"";"";""
"F0129";"COM";"";"";"";"";"";"";"";"";"";"";""
"F0130";"CONCERT";"SYSTEMES";"38370";"SAINT-CLAIR";"DU";"RHONE";"04";"74";"56";"43";"73";""
"F0131";"CONSTANCE";"PRODUCTION";"";"";"";"";"";"";"";"";"";""
"F0132";"CORBAS";"MANUTENTION";"";"";"";"";"";"";"";"";"";""
"F0133";"CORDONNERIE-CLÉ";"";"";"";"";"";"";"";"";"";"";""
"F0134";"CP";"FRANCE";"";"";"";"";"";"";"";"";"";""
"F0135";"CP";"ORGANISATION";"FOUR";"";"";"";"";"";"";"";"";""
"F00000000002";"CSI";"94832";"FRESNES";"0146154709";"";"";"";"";"";"";"";""
"F00000000494";"D.E.S.";"DISTRIBUTION";"78690";"LES";"ESSARTS";"LE";"ROI";"01";"30";"88";"97";"97"
"F00000000545";"D'HITELEM";"0477256448";"";"";"";"";"";"";"";"";"";""
"F00000000502";"DADIS";"93217";"LA";"PLAINE";"SAINT";"DENIS";"0149181900";"";"";"";"";""
"F0137";"DAGRAÇA";"CARROSSERIE";"";"";"";"";"";"";"";"";"";""
"F0138";"DARTY";"";"";"";"";"";"";"";"";"";"";""
"F0139";"DECATHLON";"";"";"";"";"";"";"";"";"";"";""
"F0140";"DEKRA";"42000";"SAINT-ETIENNE";"04";"77";"93";"27";"88";"";"";"";""
"F00000000484";"DELTA";"SERVICE";"69960";"CORBAS";"04";"72";"90";"00";"10";"";"";""
"F0141";"DERVIEUX";"";"";"";"";"";"";"";"";"";"";""
"F0142";"DESCOURS";"&";"CABAUD";"42000";"saint";"etienne";"0477921192";"";"";"";"";""
"F0143";"DIAFORA";"12350";"Compolibat";"0565291600";"";"";"";"";"";"";"";""
"F00000000529";"DIMATEC";"91350";"GRIGNY";"0169021021";"";"";"";"";"";"";"";""
"F0144";"DIRECT";"RENT";"";"";"";"";"";"";"";"";"";""
"F0145";"DISPATCH";"95947";"ROISSY";"CDG";"CEDEX";"01";"48";"63";"22";"02";"";""
"F00000000460";"DISTRIBUTION";"PAN";"35000";"RENNES";"02";"99";"14";"52";"10";"";"";""
"F0146";"DIVERS";"";"";"";"";"";"";"";"";"";"";""
"F0147";"DLM";"";"";"";"";"";"";"";"";"";"";""
"F0148";"DOCTEUR";"LASER";"";"";"";"";"";"";"";"";"";""
"F0149";"DOMAINE";"KI";"MONTE";"";"";"";"";"";"";"";"";""
"F0150";"DOUANES";"";"";"";"";"";"";"";"";"";"";""
"F00000000560";"DPA";"";"";"";"";"";"";"";"";"";"";""
"F0151";"DRIRE";"";"";"";"";"";"";"";"";"";"";""
"F0152";"DSMA";"";"";"";"";"";"";"";"";"";"";""
"F0153";"DTS";"FOUR";"";"";"";"";"";"";"";"";"";""
"F0154";"DUCROS";"TRANSPORTS";"";"";"";"";"";"";"";"";"";""
